id,lat,lon,operator,brand
1228781,46.8785984,7.5423261,BP,BP
5702030,46.6805465,7.8274119,Unknown,Migrol
5702071,46.6834149,7.8445587,Avia,Avia
8082505,46.6838171,7.6644266,Unknown,Unknown
17407058,47.0547266,7.6253785,Shell,Unknown
27069561,47.3963906,8.6233174,SOCAR Energy Switzerland,SOCAR
27125026,47.4010933,8.6199554,Tresch Automobile,BP
29881492,47.686119,8.621418,Shell (Switzerland),Shell
29881496,47.6822764,8.6093701,Unknown,OIL!
29882004,47.6799675,8.6064702,Unknown,Coop
29885121,47.6773289,8.6005845,Unknown,Unknown
30011079,47.714297,8.5161525,Unknown,Unknown
33127154,47.1377584,9.0509476,Unknown,BP
33157581,47.1554377,9.038236,Unknown,BP
33593043,47.1327975,9.0875692,Unknown,Unknown
34026947,47.1782564,9.0513173,Unknown,BP
34026948,47.1871045,9.0496605,Unknown,Spurt
34026949,47.2112768,9.0283638,Unknown,Unknown
34078845,47.4956958,8.7129812,Migrol,Shell
35684995,47.2254301,8.9761652,Agrola,Unknown
36724756,47.2276132,8.9725233,BP,Unknown
47744371,47.3995257,8.4973287,Coop Mineraloel,Coop
52741787,47.3815928,8.5095448,Shell (Switzerland),Shell
54754456,47.1211551,9.122469,Unknown,Eni
55275762,47.2148943,9.0214887,Unknown,Unknown
56237356,47.2203343,8.980851,Post,Unknown
59185470,47.2376219,8.7276971,AVIA,Avia
73124669,47.3811098,8.4921479,Migrol,Migrol
81321511,47.5335372,9.0696973,Unknown,Unknown
82462301,47.6556089,8.857671,Avia,Avia
82462303,47.6577964,8.8533445,Unknown,Unknown
83423432,47.3374315,8.5302419,Unknown,Shell
83424882,47.3398175,8.5298146,Avia Osterwalder Zürich,Avia
84513888,47.3236425,8.5187472,Unknown,Eni
86035999,47.0242031,8.2963023,Agip,Unknown
89266715,47.1832564,7.9810905,Landi Oberwiggertal,Agrola
94628702,47.0265599,8.2991398,Shell (Switzerland),Shell
95582040,47.0495135,9.0600281,Unknown,Avia
98838885,47.0678093,9.0577963,Coop Mineraloel,Coop
98838886,47.0725304,9.0560821,SOCAR Energy Switzerland,SOCAR
98838887,47.0950062,9.0680391,Unknown,Unknown
101392168,47.3890134,8.695437,Unknown,Unknown
102726613,47.2169721,8.5763211,Migrol,Migrol
102728438,47.1994085,8.5736624,Unknown,Unknown
103096904,47.3459074,8.534658,A.H. Meyer & Cie,Avia
103102957,47.3485725,8.5340966,Unknown,BP
110964235,47.5278765,7.7003458,Unknown,BP
111247327,47.5080581,8.5437196,Migrol,Migrol
125683037,47.5250153,7.6900191,BP,BP
130216563,47.4804183,8.2358504,Avia,Unknown
130216565,47.4811412,8.2391514,Shell,Unknown
130216566,47.4842929,8.242173,BP,Unknown
135633811,47.3980896,8.5399105,Migrol,Migrol
148213917,47.0067564,7.1099653,Avia,Avia
148466650,47.4387423,8.3478347,Shell (Switzerland),Shell
148466654,47.4383077,8.3470877,Shell (Switzerland),Shell
153289980,47.5389027,7.7343968,Coop Mineraloel,Coop
171100087,47.2028273,9.0072882,Unknown,Opel
179047160,47.2327033,8.6143556,Tankstelle Svabic,Independent
182812681,47.0111586,9.5123249,Unknown,BP
190344999,47.3795583,9.5445168,BP,BP
194647104,47.4149012,9.6323521,Coop,Unknown
201387216,47.4352023,9.1387028,Coop Mineraloel,Coop
206380323,47.0438236,8.364317,Unknown,Unknown
207089654,47.2140371,7.7435,Unknown,Unknown
208814607,47.1958318,7.6992632,Unknown,Unknown
213320801,47.2291296,9.0232582,Unknown,Shell
220030470,47.5023332,8.0316396,Unknown,Tamoil
220830818,47.2190519,7.7873795,Migrol,Migrol
243881645,47.5882149,8.8857991,Unknown,Avia
244479991,46.8164575,9.2670205,Unknown,Unknown
246650988,47.2300466,8.9620388,Migrol,Migrol
247345256,47.2269883,7.8404587,Unknown,Eni
247697427,47.6602469,8.8750941,Avia,Unknown
247702040,47.7046119,8.8205492,Migrol,Migrol
247702174,47.706782,8.820345,Migrol,Migrol
247702175,47.7092628,8.8208431,Unknown,Eni
248973336,47.200788,9.3375706,Unknown,Avia
249500787,47.374827,8.6428183,SOCAR Energy Switzerland,SOCAR
251364446,47.5659008,9.0967582,Coop Mineraloel,Coop
251364447,47.5629712,9.1047017,Migrol,Shell
251364453,47.5644097,9.0999412,Garage Krapf AG,Eni
251364454,47.5622326,9.1211508,AMAG,BP
251540984,47.5101487,8.3679597,Unknown,Unknown
253239439,46.9650682,7.4638599,Shell,Shell
254289007,47.2259769,8.2621212,Unknown,Unknown
255007349,47.4436565,8.465643,Coop Mineraloel,Coop
256221360,47.1647171,7.4235966,Unknown,Unknown
256757662,46.7809278,7.6041999,Tamoil,Tamoil
257281284,47.1884095,8.396334,Unknown,BP
257282729,47.1964661,8.4341059,Unknown,Avia
258875594,47.1913959,8.8947716,Unknown,Avia
260443215,47.5809034,7.5942068,Migrol,Shell
